,격자고유번호,NUMPOINTS,x,y,visited,index
48728,다사468426,1,468,426,False,24102
48729,다사468411,1,468,411,False,24103
48730,다사468408,0,468,408,False,24104
48731,다사468399,0,468,399,False,24105
48732,다사468391,0,468,391,False,24106
48733,다사468390,0,468,390,False,24107
48734,다사468529,0,468,529,False,24108
48735,다사468520,0,468,520,False,24109
48736,다사468485,0,468,485,False,24110
48737,다사469464,1,469,464,False,24111
48738,다사469437,0,469,437,False,24112
48739,다사469433,0,469,433,False,24113
48740,다사599640,0,599,640,False,23781
48741,다사599574,1,599,574,False,23779
48742,다사551532,1,551,532,False,24269
48743,다사628631,1,628,631,False,23456
48744,다사629484,1,629,484,False,23444
48745,다사629514,0,629,514,False,23445
48746,다사629523,1,629,523,False,23446
48747,다사629525,1,629,525,False,23447
48748,다사629530,0,629,530,False,23448
48749,다사629578,1,629,578,False,23449
48750,다사629584,1,629,584,False,23450
48751,다사629585,1,629,585,False,23451
48752,다사629394,0,629,394,False,23452
48753,다사629395,0,629,395,False,23453
48754,다사629454,1,629,454,False,23454
48755,다사628628,0,628,628,False,23455
48756,다사628635,1,628,635,False,23457
48757,다사629608,0,629,608,False,23442
48758,다사628512,0,628,512,False,23458
48759,다사628526,0,628,526,False,23459
48760,다사628527,0,628,527,False,23460
48761,다사628529,0,628,529,False,23461
48762,다사628532,0,628,532,False,23462
48763,다사628534,0,628,534,False,23463
48764,다사628567,0,628,567,False,23464
48765,다사628394,0,628,394,False,23465
48766,다사627600,0,627,600,False,23466
48767,다사627619,0,627,619,False,23467
48768,다사627632,1,627,632,False,23468
48769,다사627636,0,627,636,False,23469
48770,다사629619,0,629,619,False,23443
48771,다사630459,0,630,459,False,23441
48772,다사627546,1,627,546,False,23471
48773,다사632434,1,632,434,False,23425
48774,다사633633,0,633,633,False,23413
48775,다사633484,0,633,484,False,23414
48776,다사633504,0,633,504,False,23415
48777,다사633577,0,633,577,False,23416
48778,다사633589,0,633,589,False,23417
48779,다사633458,1,633,458,False,23418
48780,다사632598,0,632,598,False,23419
48781,다사632483,1,632,483,False,23420
48782,다사632490,1,632,490,False,23421
48783,다사632505,0,632,505,False,23422
48784,다사632535,0,632,535,False,23423
48785,다사632577,0,632,577,False,23424
48786,다사632462,0,632,462,False,23426
48787,다사630403,0,630,403,False,23440
48788,다사631514,0,631,514,False,23427
48789,다사631527,0,631,527,False,23428
48790,다사631549,0,631,549,False,23429
48791,다사631426,0,631,426,False,23430
48792,다사631428,0,631,428,False,23431
48793,다사630610,0,630,610,False,23432
48794,다사630614,0,630,614,False,23433
48795,다사630485,1,630,485,False,23435
48796,다사630490,0,630,490,False,23436
48797,다사630492,0,630,492,False,23437
48798,다사630565,0,630,565,False,23438
48799,다사630566,0,630,566,False,23439
48800,다사627522,0,627,522,False,23470
48801,다사627587,1,627,587,False,23472
48802,다사620512,1,620,512,False,23532
48803,다사622433,1,622,433,False,23516
48804,다사623453,0,623,453,False,23504
48805,다사622616,1,622,616,False,23505
48806,다사622480,1,622,480,False,23506
48807,다사622492,1,622,492,False,23507
48808,다사622498,0,622,498,False,23508
48809,다사622531,1,622,531,False,23509
48810,다사622551,1,622,551,False,23510
48811,다사622552,0,622,552,False,23511
48812,다사622577,0,622,577,False,23512
48813,다사622582,2,622,582,False,23513
48814,다사622604,0,622,604,False,23514
48815,다사622429,0,622,429,False,23515
48816,다사622450,0,622,450,False,23517
48817,다사623575,0,623,575,False,23502
48818,다사621582,2,621,582,False,23518
48819,다사621588,1,621,588,False,23519
48820,다사621590,1,621,590,False,23520
48821,다사621600,0,621,600,False,23521
48822,다사621624,1,621,624,False,23523
48823,다사621486,0,621,486,True,23524
48824,다사621505,1,621,505,False,23525
48825,다사621536,1,621,536,False,23526
48826,다사621562,0,621,562,False,23527
48827,다사620610,0,620,610,False,23528
48828,다사620622,1,620,622,False,23529
48829,다사620625,1,620,625,False,23530
48830,다사623580,2,623,580,False,23503
48831,다사623570,0,623,570,False,23501
48832,다사627599,0,627,599,False,23473
48833,다사625570,0,625,570,False,23486
48834,다사626607,1,626,607,False,23474
48835,다사626622,0,626,622,False,23475
48836,다사626505,1,626,505,False,23476
48837,다사626542,1,626,542,False,23477
48838,다사626587,1,626,587,False,23478
48839,다사626427,0,626,427,False,23479
48840,다사626435,0,626,435,False,23480
48841,다사626436,1,626,436,False,23481
48842,다사626438,1,626,438,False,23482
48843,다사625489,1,625,489,False,23483
48844,다사625505,1,625,505,False,23484
48845,다사625507,1,625,507,False,23485
48846,다사625588,0,625,588,False,23487
48847,다사623553,0,623,553,False,23500
48848,다사625431,1,625,431,False,23488
48849,다사625452,0,625,452,False,23489
48850,다사624496,1,624,496,False,23490
48851,다사624551,1,624,551,False,23491
48852,다사624568,0,624,568,False,23492
48853,다사624573,0,624,573,False,23493
48854,다사624439,1,624,439,False,23494
48855,다사624441,0,624,441,False,23495
48856,다사623504,1,623,504,False,23496
48857,다사623519,0,623,519,False,23497
48858,다사623532,0,623,532,False,23498
48859,다사623550,1,623,550,False,23499
48860,다사633605,0,633,605,False,23412
48861,다사633593,0,633,593,False,23411
48862,다사634460,0,634,460,False,23410
48863,다사641464,0,641,464,False,23334
