,격자고유구역,NUMPOINTS,x,y,visited,index
28792,다사541400,0,541,400,False,53428
28793,다사653423,0,653,423,False,53429
28794,다사551572,0,551,572,False,53430
28795,다사483388,0,483,388,False,53431
28796,다사647479,0,647,479,False,53432
28797,다사664475,0,664,475,False,53434
28798,다사535443,0,535,443,False,53419
28799,다사372511,0,372,511,True,53435
28800,다사614634,0,614,634,False,53436
28801,다사556500,0,556,500,False,53437
28802,다사519414,0,519,414,False,53438
28803,다사544507,0,544,507,False,53439
28804,다사477483,0,477,483,False,53440
28805,다사703523,0,703,523,False,53441
28806,다사353510,0,353,510,True,53442
28807,다사488396,0,488,396,False,53443
28808,다사560623,0,560,623,False,53444
28809,다사625500,0,625,500,False,53445
28810,다사673520,0,673,520,False,53446
28811,다사411521,0,411,521,False,53420
28812,다사516410,0,516,410,False,53418
28813,다사377522,0,377,522,False,53390
28814,다사582639,0,582,639,False,53403
28815,다사482380,0,482,380,False,53391
28816,다사365518,0,365,518,False,53392
28817,다사537399,0,537,399,False,53393
28818,다사494553,0,494,553,False,53394
28819,다사639593,0,639,593,False,53395
28820,다사521614,0,521,614,False,53396
28821,다사377540,0,377,540,False,53397
28822,다사411425,0,411,425,False,53398
28823,다사507519,0,507,519,False,53399
28824,다사489491,0,489,491,False,53400
28825,다사628659,0,628,659,False,53401
28826,다사525394,0,525,394,False,53402
28827,다사619466,0,619,466,False,53404
28828,다사549627,0,549,627,False,53417
28829,다사610651,0,610,651,False,53405
28830,다사600485,0,600,485,False,53406
28831,다사388539,0,388,539,False,53407
28832,다사567413,0,567,413,False,53408
28833,다사400544,0,400,544,False,53409
28834,다사527587,0,527,587,False,53410
28835,다사450433,0,450,433,False,53411
28836,다사665407,0,665,407,False,53412
28837,다사520591,0,520,591,False,53413
28838,다사623642,0,623,642,False,53414
28839,다사492465,0,492,465,False,53415
28840,다사649525,0,649,525,False,53416
28841,다사553456,0,553,456,False,53330
28842,다사671412,0,671,412,False,53328
28843,다사453519,0,453,519,False,53210
28844,다사514381,0,514,381,False,53253
28845,다사540547,0,540,547,False,53241
28846,다사523391,0,523,391,False,53242
28847,다사620409,0,620,409,False,53243
